machine_frame,rendered,delta,camera,stage,lives
150,26,0,22,4,2
151,27,1,23,4,2
152,27,0,23,4,2
153,27,0,23,4,2
154,27,0,23,4,2
155,27,0,23,4,2
156,27,0,23,4,2
157,28,1,24,4,2
158,28,0,24,4,2
159,28,0,24,4,2
160,28,0,24,4,2
161,28,0,24,4,2
162,29,1,25,4,2
163,29,0,25,4,2
164,29,0,25,4,2
165,29,0,25,4,2
166,29,0,25,4,2
167,30,1,26,4,2
168,30,0,26,4,2
169,30,0,26,4,2
170,30,0,26,4,2
171,30,0,26,4,2
172,31,1,27,4,2
173,31,0,27,4,2
174,31,0,27,4,2
175,31,0,27,4,2
176,31,0,27,4,2
177,32,1,27,4,2
178,32,0,27,4,2
179,32,0,27,4,2
180,32,0,27,4,2
181,32,0,27,4,2
182,33,1,28,4,2
183,33,0,28,4,2
184,33,0,28,4,2
185,33,0,28,4,2
186,33,0,28,4,2
187,34,1,29,4,2
188,34,0,29,4,2
189,34,0,29,4,2
190,34,0,29,4,2
191,34,0,29,4,2
192,35,1,30,4,2
193,35,0,30,4,2
194,35,0,30,4,2
195,35,0,30,4,2
196,35,0,30,4,2
197,36,1,31,4,2
198,36,0,31,4,2
199,36,0,31,4,2
200,36,0,31,4,2
201,36,0,31,4,2
202,37,1,32,4,2
203,37,0,32,4,2
204,37,0,32,4,2
205,37,0,32,4,2
206,37,0,32,4,2
207,38,1,33,4,2
208,38,0,33,4,2
209,38,0,33,4,2
210,38,0,33,4,2
211,38,0,33,4,2
212,39,1,34,4,2
213,39,0,34,4,2
214,39,0,34,4,2
215,39,0,34,4,2
216,39,0,34,4,2
217,40,1,35,4,2
218,40,0,35,4,2
219,40,0,35,4,2
220,40,0,35,4,2
221,40,0,35,4,2
222,41,1,36,4,2
223,41,0,36,4,2
224,41,0,36,4,2
225,41,0,36,4,2
226,41,0,36,4,2
227,42,1,37,4,2
228,42,0,37,4,2
229,42,0,37,4,2
230,42,0,37,4,2
231,42,0,37,4,2
232,42,0,37,4,2
233,43,1,38,4,2
234,43,0,38,4,2
235,43,0,38,4,2
236,43,0,38,4,2
237,43,0,38,4,2
238,44,1,39,4,2
239,44,0,39,4,2
240,44,0,39,4,2
241,44,0,39,4,2
242,44,0,39,4,2
243,44,0,39,4,2
244,45,1,40,4,2
245,45,0,40,4,2
246,45,0,40,4,2
247,45,0,40,4,2
248,45,0,40,4,2
249,45,0,40,4,2
250,46,1,41,4,2
251,46,0,41,4,2
252,46,0,41,4,2
253,46,0,41,4,2
254,46,0,41,4,2
255,47,1,42,4,2
256,47,0,42,4,2
257,47,0,42,4,2
258,47,0,42,4,2
259,47,0,42,4,2
260,48,1,43,4,2
261,48,0,43,4,2
262,48,0,43,4,2
263,48,0,43,4,2
264,48,0,43,4,2
265,48,0,43,4,2
266,49,1,44,4,2
267,49,0,44,4,2
268,49,0,44,4,2
269,49,0,44,4,2
270,49,0,44,4,2
271,50,1,45,4,2
272,50,0,45,4,2
273,50,0,45,4,2
274,50,0,45,4,2
275,50,0,45,4,2
276,51,1,46,4,2
277,51,0,46,4,2
278,51,0,46,4,2
279,51,0,46,4,2
280,51,0,46,4,2
281,52,1,47,4,2
282,52,0,47,4,2
283,52,0,47,4,2
284,52,0,47,4,2
285,52,0,47,4,2
286,52,0,47,4,2
287,53,1,48,4,2
288,53,0,48,4,2
289,53,0,48,4,2
290,53,0,48,4,2
291,53,0,48,4,2
292,54,1,49,4,2
293,54,0,49,4,2
294,54,0,49,4,2
295,54,0,49,4,2
296,54,0,49,4,2
297,54,0,49,4,2
298,55,1,50,4,2
299,55,0,50,4,2
300,55,0,50,4,2
301,55,0,50,4,2
302,55,0,50,4,2
303,56,1,51,4,2
304,56,0,51,4,2
305,56,0,51,4,2
306,56,0,51,4,2
307,56,0,51,4,2
308,56,0,51,4,2
309,57,1,52,4,2
310,57,0,52,4,2
311,57,0,52,4,2
312,57,0,52,4,2
313,57,0,52,4,2
314,58,1,53,4,2
315,58,0,53,4,2
316,58,0,53,4,2
317,58,0,53,4,2
318,58,0,53,4,2
319,59,1,54,4,2
320,59,0,54,4,2
321,59,0,54,4,2
322,59,0,54,4,2
323,59,0,54,4,2
324,59,0,54,4,2
325,60,1,55,4,2
326,60,0,55,4,2
327,60,0,55,4,2
328,60,0,55,4,2
329,60,0,55,4,2
330,60,0,55,4,2
331,60,0,55,4,2
332,61,1,56,4,2
333,61,0,56,4,2
334,61,0,56,4,2
335,61,0,56,4,2
336,61,0,56,4,2
337,62,1,57,4,2
338,62,0,57,4,2
339,62,0,57,4,2
340,62,0,57,4,2
341,62,0,57,4,2
342,62,0,57,4,2
343,63,1,59,4,2
344,63,0,59,4,2
345,63,0,59,4,2
346,63,0,59,4,2
347,63,0,59,4,2
348,63,0,59,4,2
349,64,1,60,4,2
350,64,0,60,4,2
351,64,0,60,4,2
352,64,0,60,4,2
353,64,0,60,4,2
354,64,0,60,4,2
355,65,1,61,4,2
356,65,0,61,4,2
357,65,0,61,4,2
358,65,0,61,4,2
359,65,0,61,4,2
360,65,0,61,4,2
361,66,1,62,4,2
362,66,0,62,4,2
363,66,0,62,4,2
364,66,0,62,4,2
365,66,0,62,4,2
366,66,0,62,4,2
367,67,1,63,4,2
368,67,0,63,4,2
369,67,0,63,4,2
370,67,0,63,4,2
371,67,0,63,4,2
372,67,0,63,4,2
373,68,1,64,4,2
374,68,0,64,4,2
375,68,0,64,4,2
376,68,0,64,4,2
377,68,0,64,4,2
378,69,1,65,4,2
379,69,0,65,4,2
380,69,0,65,4,2
381,69,0,65,4,2
382,69,0,65,4,2
383,69,0,65,4,2
384,70,1,66,4,2
385,70,0,66,4,2
386,70,0,66,4,2
387,70,0,66,4,2
388,70,0,66,4,2
389,70,0,66,4,2
390,71,1,67,4,2
391,71,0,67,4,2
392,71,0,67,4,2
393,71,0,67,4,2
394,71,0,67,4,2
395,72,1,68,4,2
396,72,0,68,4,2
397,72,0,68,4,2
398,72,0,68,4,2
399,72,0,68,4,2
400,73,1,69,4,2
401,73,0,69,4,2
402,73,0,69,4,2
403,73,0,69,4,2
404,73,0,69,4,2
405,73,0,69,4,2
406,74,1,70,4,2
407,74,0,70,4,2
408,74,0,70,4,2
409,74,0,70,4,2
410,74,0,70,4,2
411,75,1,71,4,2
412,75,0,71,4,2
413,75,0,71,4,2
414,75,0,71,4,2
415,75,0,71,4,2
416,75,0,71,4,2
417,76,1,72,4,2
418,76,0,72,4,2
419,76,0,72,4,2
420,76,0,72,4,2
421,76,0,72,4,2
422,76,0,72,4,2
423,77,1,73,4,2
424,77,0,73,4,2
425,77,0,73,4,2
426,77,0,73,4,2
427,77,0,73,4,2
428,77,0,73,4,2
429,78,1,75,4,2
430,78,0,75,4,2
431,78,0,75,4,2
432,78,0,75,4,2
433,78,0,75,4,2
434,78,0,75,4,2
435,79,1,76,4,2
436,79,0,76,4,2
437,79,0,76,4,2
438,79,0,76,4,2
439,79,0,76,4,2
440,79,0,76,4,2
441,80,1,77,4,2
442,80,0,77,4,2
443,80,0,77,4,2
444,80,0,77,4,2
445,80,0,77,4,2
446,80,0,77,4,2
447,81,1,78,4,2
448,81,0,78,4,2
449,81,0,78,4,2
450,81,0,78,4,2
451,81,0,78,4,2
452,82,1,79,4,2
453,82,0,79,4,2
454,82,0,79,4,2
455,82,0,79,4,2
456,82,0,79,4,2
457,82,0,79,4,2
458,83,1,80,4,2
459,83,0,80,4,2
460,83,0,80,4,2
461,83,0,80,4,2
462,83,0,80,4,2
463,83,0,80,4,2
464,84,1,81,4,2
465,84,0,81,4,2
466,84,0,81,4,2
467,84,0,81,4,2
468,84,0,81,4,2
469,84,0,81,4,2
470,85,1,82,4,2
471,85,0,82,4,2
472,85,0,82,4,2
473,85,0,82,4,2
474,85,0,82,4,2
475,85,0,82,4,2
476,86,1,83,4,2
477,86,0,83,4,2
478,86,0,83,4,2
479,86,0,83,4,2
480,86,0,83,4,2
481,86,0,83,4,2
482,87,1,84,4,2
483,87,0,84,4,2
484,87,0,84,4,2
485,87,0,84,4,2
486,87,0,84,4,2
487,87,0,84,4,2
488,88,1,86,4,2
489,88,0,86,4,2
490,88,0,86,4,2
491,88,0,86,4,2
492,88,0,86,4,2
493,88,0,86,4,2
494,89,1,87,4,2
495,89,0,87,4,2
496,89,0,87,4,2
497,89,0,87,4,2
498,89,0,87,4,2
499,89,0,87,4,2
500,89,0,87,4,2
501,90,1,88,4,2
502,90,0,88,4,2
503,90,0,88,4,2
504,90,0,88,4,2
505,90,0,88,4,2
506,91,1,89,4,2
507,91,0,89,4,2
508,91,0,89,4,2
509,91,0,89,4,2
510,91,0,89,4,2
511,91,0,89,4,2
512,92,1,90,4,2
513,92,0,90,4,2
514,92,0,90,4,2
515,92,0,90,4,2
516,92,0,90,4,2
517,93,1,91,4,2
518,93,0,91,4,2
519,93,0,91,4,2
520,93,0,91,4,2
521,93,0,91,4,2
522,94,1,92,4,2
523,94,0,92,4,2
524,94,0,92,4,2
525,94,0,92,4,2
526,94,0,92,4,2
527,95,1,93,4,2
528,95,0,93,4,2
529,95,0,93,4,2
530,95,0,93,4,2
531,95,0,93,4,2
532,95,0,93,4,2
533,96,1,94,4,2
534,96,0,94,4,2
535,96,0,94,4,2
536,96,0,94,4,2
537,96,0,94,4,2
538,97,1,95,4,2
539,97,0,95,4,2
540,97,0,95,4,2
541,97,0,95,4,2
542,97,0,95,4,2
543,97,0,95,4,2
544,98,1,96,4,2
545,98,0,96,4,2
546,98,0,96,4,2
547,98,0,96,4,2
548,98,0,96,4,2
549,99,1,97,4,2
550,99,0,97,4,2
551,99,0,97,4,2
552,99,0,97,4,2
553,99,0,97,4,2
554,100,1,98,4,2
555,100,0,98,4,2
556,100,0,98,4,2
557,100,0,98,4,2
558,100,0,98,4,2
559,100,0,98,4,2
560,101,1,99,4,2
561,101,0,99,4,2
562,101,0,99,4,2
563,101,0,99,4,2
564,101,0,99,4,2
565,102,1,100,4,2
566,102,0,100,4,2
567,102,0,100,4,2
568,102,0,100,4,2
569,102,0,100,4,2
570,103,1,101,4,2
571,103,0,101,4,2
572,103,0,101,4,2
573,103,0,101,4,2
574,103,0,101,4,2
575,103,0,101,4,2
576,104,1,102,4,2
577,104,0,102,4,2
578,104,0,102,4,2
579,104,0,102,4,2
580,104,0,102,4,2
581,105,1,103,4,2
582,105,0,103,4,2
583,105,0,103,4,2
584,105,0,103,4,2
585,105,0,103,4,2
586,105,0,103,4,2
587,106,1,104,4,2
588,106,0,104,4,2
589,106,0,104,4,2
590,106,0,104,4,2
591,106,0,104,4,2
592,106,0,104,4,2
593,107,1,105,4,2
594,107,0,105,4,2
595,107,0,105,4,2
596,107,0,105,4,2
597,107,0,105,4,2
598,108,1,106,4,2
599,108,0,106,4,2
600,108,0,106,4,2
601,108,0,106,4,2
602,108,0,106,4,2
603,108,0,106,4,2
604,109,1,107,4,2
605,109,0,107,4,2
606,109,0,107,4,2
607,109,0,107,4,2
608,109,0,107,4,2
609,110,1,108,4,2
610,110,0,108,4,2
611,110,0,108,4,2
612,110,0,108,4,2
613,110,0,108,4,2
614,110,0,108,4,2
615,111,1,109,4,2
616,111,0,109,4,2
617,111,0,109,4,2
618,111,0,109,4,2
619,111,0,109,4,2
620,111,0,109,4,2
621,112,1,110,4,2
622,112,0,110,4,2
623,112,0,110,4,2
624,112,0,110,4,2
625,112,0,110,4,2
626,112,0,110,4,2
627,113,1,111,4,2
628,113,0,111,4,2
629,113,0,111,4,2
630,113,0,111,4,2
631,113,0,111,4,2
632,113,0,111,4,2
633,114,1,113,4,2
634,114,0,113,4,2
635,114,0,113,4,2
636,114,0,113,4,2
637,114,0,113,4,2
638,114,0,113,4,2
639,115,1,114,4,2
640,115,0,114,4,2
641,115,0,114,4,2
642,115,0,114,4,2
643,115,0,114,4,2
644,115,0,114,4,2
645,116,1,115,4,2
646,116,0,115,4,2
647,116,0,115,4,2
648,116,0,115,4,2
649,116,0,115,4,2
650,116,0,115,4,2
651,117,1,116,4,2
652,117,0,116,4,2
653,117,0,116,4,2
654,117,0,116,4,2
655,117,0,116,4,2
656,117,0,116,4,2
657,118,1,117,4,2
658,118,0,117,4,2
659,118,0,117,4,2
660,118,0,117,4,2
661,118,0,117,4,2
662,118,0,117,4,2
663,118,0,117,4,2
664,119,1,118,4,2
665,119,0,118,4,2
666,119,0,118,4,2
667,119,0,118,4,2
668,119,0,118,4,2
669,119,0,118,4,2
670,119,0,118,4,2
671,120,1,120,4,2
672,120,0,120,4,2
673,120,0,120,4,2
674,120,0,120,4,2
675,120,0,120,4,2
676,120,0,120,4,2
677,121,1,121,4,2
678,121,0,121,4,2
679,121,0,121,4,2
680,121,0,121,4,2
681,121,0,121,4,2
682,121,0,121,4,2
683,121,0,121,4,2
684,122,1,122,4,2
685,122,0,122,4,2
686,122,0,122,4,2
687,122,0,122,4,2
688,122,0,122,4,2
689,122,0,122,4,2
690,123,1,123,4,2
691,123,0,123,4,2
692,123,0,123,4,2
693,123,0,123,4,2
694,123,0,123,4,2
695,123,0,123,4,2
696,123,0,123,4,2
697,124,1,124,4,2
698,124,0,124,4,2
699,124,0,124,4,2
700,124,0,124,4,2
701,124,0,124,4,2
702,124,0,124,4,2
703,124,0,124,4,2
704,125,1,126,4,2
705,125,0,126,4,2
706,125,0,126,4,2
707,125,0,126,4,2
708,125,0,126,4,2
709,125,0,126,4,2
710,125,0,126,4,2
711,126,1,127,4,2
712,126,0,127,4,2
713,126,0,127,4,2
714,126,0,127,4,2
715,126,0,127,4,2
716,126,0,127,4,2
717,126,0,127,4,2
718,127,1,128,4,2
719,127,0,128,4,2
720,127,0,128,4,2
721,127,0,128,4,2
722,127,0,128,4,2
723,127,0,128,4,2
724,127,0,128,4,2
725,127,0,128,4,2
726,128,1,130,4,2
727,128,0,130,4,2
728,128,0,130,4,2
729,128,0,130,4,2
730,128,0,130,4,2
731,128,0,130,4,2
732,128,0,130,4,2
733,129,1,131,4,2
734,129,0,131,4,2
735,129,0,131,4,2
736,129,0,131,4,2
737,129,0,131,4,2
738,129,0,131,4,2
739,129,0,131,4,2
740,130,1,132,4,2
741,130,0,132,4,2
742,130,0,132,4,2
743,130,0,132,4,2
744,130,0,132,4,2
745,130,0,132,4,2
746,130,0,132,4,2
747,131,1,134,4,2
748,131,0,134,4,2
749,131,0,134,4,2
750,131,0,134,4,2
751,131,0,134,4,2
752,131,0,134,4,2
753,131,0,134,4,2
754,131,0,134,4,2
755,132,1,135,4,2
756,132,0,135,4,2
757,132,0,135,4,2
758,132,0,135,4,2
759,132,0,135,4,2
760,132,0,135,4,2
761,132,0,135,4,2
762,132,0,135,4,2
763,133,1,137,4,2
764,133,0,137,4,2
765,133,0,137,4,2
766,133,0,137,4,2
767,133,0,137,4,2
768,133,0,137,4,2
769,133,0,137,4,2
770,133,0,137,4,2
771,134,1,138,4,2
772,134,0,138,4,2
773,134,0,138,4,2
774,134,0,138,4,2
775,134,0,138,4,2
776,134,0,138,4,2
777,134,0,138,4,2
778,135,1,140,4,2
779,135,0,140,4,2
780,135,0,140,4,2
781,135,0,140,4,2
782,135,0,140,4,2
783,135,0,140,4,2
784,135,0,140,4,2
785,136,1,141,4,2
786,136,0,141,4,2
787,136,0,141,4,2
788,136,0,141,4,2
789,136,0,141,4,2
790,136,0,141,4,2
791,136,0,141,4,2
792,136,0,141,4,2
793,137,1,142,4,2
794,137,0,142,4,2
795,137,0,142,4,2
796,137,0,142,4,2
797,137,0,142,4,2
798,137,0,142,4,2
799,137,0,142,4,2
800,137,0,142,4,2
801,138,1,144,4,2
802,138,0,144,4,2
803,138,0,144,4,2
804,138,0,144,4,2
805,138,0,144,4,2
806,138,0,144,4,2
807,138,0,144,4,2
808,138,0,144,4,2
809,139,1,145,4,2
810,139,0,145,4,2
811,139,0,145,4,2
812,139,0,145,4,2
813,139,0,145,4,2
814,139,0,145,4,2
815,139,0,145,4,2
816,140,1,147,4,2
817,140,0,147,4,2
818,140,0,147,4,2
819,140,0,147,4,2
820,140,0,147,4,2
821,140,0,147,4,2
822,140,0,147,4,2
823,140,0,147,4,2
824,140,0,147,4,2
825,141,1,148,4,2
826,141,0,148,4,2
827,141,0,148,4,2
828,141,0,148,4,2
829,141,0,148,4,2
830,141,0,148,4,2
831,141,0,148,4,2
832,142,1,150,4,2
833,142,0,150,4,2
834,142,0,150,4,2
835,142,0,150,4,2
836,142,0,150,4,2
837,142,0,150,4,2
838,142,0,150,4,2
839,142,0,150,4,2
840,143,1,151,4,2
841,143,0,151,4,2
842,143,0,151,4,2
843,143,0,151,4,2
844,143,0,151,4,2
845,143,0,151,4,2
846,143,0,151,4,2
847,143,0,151,4,2
848,144,1,153,4,2
849,144,0,153,4,2
850,144,0,153,4,2
851,144,0,153,4,2
852,144,0,153,4,2
853,144,0,153,4,2
854,144,0,153,4,2
855,144,0,153,4,2
856,145,1,154,4,2
857,145,0,154,4,2
858,145,0,154,4,2
859,145,0,154,4,2
860,145,0,154,4,2
861,145,0,154,4,2
862,145,0,154,4,2
863,145,0,154,4,2
864,146,1,156,4,2
865,146,0,156,4,2
866,146,0,156,4,2
867,146,0,156,4,2
868,146,0,156,4,2
869,146,0,156,4,2
870,146,0,156,4,2
871,146,0,156,4,2
872,147,1,157,4,2
873,147,0,157,4,2
874,147,0,157,4,2
875,147,0,157,4,2
876,147,0,157,4,2
877,147,0,157,4,2
878,147,0,157,4,2
879,147,0,157,4,2
880,148,1,159,4,2
881,148,0,159,4,2
882,148,0,159,4,2
883,148,0,159,4,2
884,148,0,159,4,2
885,148,0,159,4,2
886,148,0,159,4,2
887,148,0,159,4,2
888,149,1,160,4,2
889,149,0,160,4,2
890,149,0,160,4,2
891,149,0,160,4,2
892,149,0,160,4,2
893,149,0,160,4,2
894,149,0,160,4,2
895,149,0,160,4,2
896,150,1,162,4,2
897,150,0,162,4,2
898,150,0,162,4,2
899,150,0,162,4,2
900,150,0,162,4,2
901,150,0,162,4,2
902,150,0,162,4,2
903,150,0,162,4,2
904,151,1,163,4,2
905,151,0,163,4,2
906,151,0,163,4,2
907,151,0,163,4,2
908,151,0,163,4,2
909,151,0,163,4,2
910,151,0,163,4,2
911,151,0,163,4,2
912,152,1,165,4,2
913,152,0,165,4,2
914,152,0,165,4,2
915,152,0,165,4,2
916,152,0,165,4,2
917,152,0,165,4,2
918,152,0,165,4,2
919,152,0,165,4,2
920,153,1,166,4,2
921,153,0,166,4,2
922,153,0,166,4,2
923,153,0,166,4,2
924,153,0,166,4,2
925,153,0,166,4,2
926,153,0,166,4,2
927,153,0,166,4,2
928,154,1,168,4,2
929,154,0,168,4,2
930,154,0,168,4,2
931,154,0,168,4,2
932,154,0,168,4,2
933,154,0,168,4,2
934,154,0,168,4,2
935,154,0,168,4,2
936,155,1,169,4,2
937,155,0,169,4,2
938,155,0,169,4,2
939,155,0,169,4,2
940,155,0,169,4,2
941,155,0,169,4,2
942,155,0,169,4,2
943,155,0,169,4,2
944,156,1,171,4,2
945,156,0,171,4,2
946,156,0,171,4,2
947,156,0,171,4,2
948,156,0,171,4,2
949,156,0,171,4,2
950,156,0,171,4,2
951,156,0,171,4,2
952,157,1,172,4,2
953,157,0,172,4,2
954,157,0,172,4,2
955,157,0,172,4,2
956,157,0,172,4,2
957,157,0,172,4,2
958,157,0,172,4,2
959,158,1,174,4,2
960,158,0,174,4,2
961,158,0,174,4,2
962,158,0,174,4,2
963,158,0,174,4,2
964,158,0,174,4,2
965,158,0,174,4,2
966,159,1,175,4,2
967,159,0,175,4,2
968,159,0,175,4,2
969,159,0,175,4,2
970,159,0,175,4,2
971,159,0,175,4,2
972,159,0,175,4,2
973,159,0,175,4,2
974,160,1,176,4,2
975,160,0,176,4,2
976,160,0,176,4,2
977,160,0,176,4,2
978,160,0,176,4,2
979,160,0,176,4,2
980,160,0,176,4,2
981,161,1,178,4,2
982,161,0,178,4,2
983,161,0,178,4,2
984,161,0,178,4,2
985,161,0,178,4,2
986,161,0,178,4,2
987,161,0,178,4,2
988,162,1,179,4,2
989,162,0,179,4,2
990,162,0,179,4,2
991,162,0,179,4,2
992,162,0,179,4,2
993,162,0,179,4,2
994,162,0,179,4,2
995,163,1,180,4,2
996,163,0,180,4,2
997,163,0,180,4,2
998,163,0,180,4,2
999,163,0,180,4,2
1000,163,0,180,4,2
1001,163,0,180,4,2
1002,163,0,180,4,2
1003,164,1,182,4,2
1004,164,0,182,4,2
1005,164,0,182,4,2
1006,164,0,182,4,2
1007,164,0,182,4,2
1008,164,0,182,4,2
1009,164,0,182,4,2
1010,165,1,183,4,2
1011,165,0,183,4,2
1012,165,0,183,4,2
1013,165,0,183,4,2
1014,165,0,183,4,2
1015,165,0,183,4,2
1016,165,0,183,4,2
1017,165,0,183,4,2
1018,166,1,184,4,2
1019,166,0,184,4,2
1020,166,0,184,4,2
1021,166,0,184,4,2
1022,166,0,184,4,2
1023,166,0,184,4,2
1024,166,0,184,4,2
1025,167,1,186,4,2
1026,167,0,186,4,2
1027,167,0,186,4,2
1028,167,0,186,4,2
1029,167,0,186,4,2
1030,167,0,186,4,2
1031,167,0,186,4,2
1032,168,1,187,4,2
1033,168,0,187,4,2
1034,168,0,187,4,2
1035,168,0,187,4,2
1036,168,0,187,4,2
1037,168,0,187,4,2
1038,168,0,187,4,2
1039,169,1,189,4,2
1040,169,0,189,4,2
1041,169,0,189,4,2
1042,169,0,189,4,2
1043,169,0,189,4,2
1044,169,0,189,4,2
1045,169,0,189,4,2
1046,170,1,190,4,2
1047,170,0,190,4,2
1048,170,0,190,4,2
1049,170,0,190,4,2
1050,170,0,190,4,2
1051,170,0,190,4,2
1052,170,0,190,4,2
1053,171,1,191,4,2
1054,171,0,191,4,2
1055,171,0,191,4,2
1056,171,0,191,4,2
1057,171,0,191,4,2
1058,171,0,191,4,2
1059,171,0,191,4,2
1060,172,1,192,4,2
1061,172,0,192,4,2
1062,172,0,192,4,2
1063,172,0,192,4,2
1064,172,0,192,4,2
1065,172,0,192,4,2
1066,172,0,192,4,2
1067,173,1,194,4,2
1068,173,0,194,4,2
1069,173,0,194,4,2
1070,173,0,194,4,2
1071,173,0,194,4,2
1072,173,0,194,4,2
1073,173,0,194,4,2
1074,174,1,195,4,2
1075,174,0,195,4,2
1076,174,0,195,4,2
1077,174,0,195,4,2
1078,174,0,195,4,2
1079,174,0,195,4,2
1080,174,0,195,4,2
1081,174,0,195,4,2
1082,175,1,196,4,2
1083,175,0,196,4,2
1084,175,0,196,4,2
1085,175,0,196,4,2
1086,175,0,196,4,2
1087,175,0,196,4,2
1088,175,0,196,4,2
1089,175,0,196,4,2
1090,176,1,198,4,2
1091,176,0,198,4,2
1092,176,0,198,4,2
1093,176,0,198,4,2
1094,176,0,198,4,2
1095,176,0,198,4,2
1096,176,0,198,4,2
1097,177,1,199,4,2
1098,177,0,199,4,2
1099,177,0,199,4,2
1100,177,0,199,4,2
1101,177,0,199,4,2
1102,177,0,199,4,2
1103,177,0,199,4,2
1104,177,0,199,4,2
1105,178,1,201,4,2
1106,178,0,201,4,2
1107,178,0,201,4,2
1108,178,0,201,4,2
1109,178,0,201,4,2
1110,178,0,201,4,2
1111,178,0,201,4,2
1112,178,0,201,4,2
1113,179,1,202,4,2
1114,179,0,202,4,2
1115,179,0,202,4,2
1116,179,0,202,4,2
1117,179,0,202,4,2
1118,179,0,202,4,2
1119,179,0,202,4,2
1120,180,1,204,4,2
1121,180,0,204,4,2
1122,180,0,204,4,2
1123,180,0,204,4,2
1124,180,0,204,4,2
1125,180,0,204,4,2
1126,180,0,204,4,2
1127,180,0,204,4,2
1128,181,1,205,4,2
1129,181,0,205,4,2
1130,181,0,205,4,2
1131,181,0,205,4,2
1132,181,0,205,4,2
1133,181,0,205,4,2
1134,181,0,205,4,2
1135,182,1,207,4,2
1136,182,0,207,4,2
1137,182,0,207,4,2
1138,182,0,207,4,2
1139,182,0,207,4,2
1140,182,0,207,4,2
1141,182,0,207,4,2
1142,182,0,207,4,2
1143,183,1,208,4,2
1144,183,0,208,4,2
1145,183,0,208,4,2
1146,183,0,208,4,2
1147,183,0,208,4,2
1148,183,0,208,4,2
1149,183,0,208,4,2
1150,183,0,208,4,2
